Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"6,672.00","6,695.99",541.38,"1,154.91"
"6,696.00","6,703.99",540.38,"1,153.91"
"6,704.00","6,719.99",539.38,"1,152.91"
"6,720.00","6,743.99",538.38,"1,151.91"
"6,744.00","6,751.99",537.38,"1,150.91"
"6,752.00","6,767.99",536.38,"1,149.91"
"6,768.00","6,791.99",535.38,"1,148.91"
"6,792.00","6,799.99",534.38,"1,147.91"
"6,800.00","6,815.99",533.38,"1,146.91"
"6,816.00","6,839.99",532.38,"1,145.91"
"6,840.00","6,847.99",531.38,"1,144.91"
"6,848.00","6,863.99",530.38,"1,143.91"
"6,864.00","6,887.99",529.38,"1,142.91"
"6,888.00","6,895.99",528.38,"1,141.91"
"6,896.00","6,911.99",527.38,"1,140.91"
"6,912.00","6,935.99",526.38,"1,139.91"
"6,936.00","6,943.99",525.38,"1,138.91"
"6,944.00","6,959.99",524.38,"1,137.91"
"6,960.00","6,983.99",523.38,"1,136.91"
"6,984.00","6,991.99",522.38,"1,135.91"
"6,992.00","7,007.99",521.38,"1,134.91"
"7,008.00","7,031.99",520.38,"1,133.91"
"7,032.00","7,039.99",519.38,"1,132.91"
"7,040.00","7,055.99",518.38,"1,131.91"
"7,056.00","7,079.99",517.38,"1,130.91"
"7,080.00","7,087.99",516.38,"1,129.91"
"7,088.00","7,103.99",515.38,"1,128.91"
"7,104.00","7,127.99",514.38,"1,127.91"
"7,128.00","7,135.99",513.38,"1,126.91"
"7,136.00","7,151.99",512.38,"1,125.91"
"7,152.00","7,175.99",511.38,"1,124.91"
"7,176.00","7,183.99",510.38,"1,123.91"
"7,184.00","7,199.99",509.38,"1,122.91"
"7,200.00","7,223.99",508.38,"1,121.91"
"7,224.00","7,231.99",507.38,"1,120.91"
"7,232.00","7,247.99",506.38,"1,119.91"
"7,248.00","7,271.99",505.38,"1,118.91"
"7,272.00","7,279.99",504.38,"1,117.91"
"7,280.00","7,295.99",503.38,"1,116.91"
"7,296.00","7,319.99",502.38,"1,115.91"
"7,320.00","7,327.99",501.38,"1,114.91"
"7,328.00","7,343.99",500.38,"1,113.91"
"7,344.00","7,367.99",499.38,"1,112.91"
"7,368.00","7,375.99",498.38,"1,111.91"
"7,376.00","7,391.99",497.38,"1,110.91"
"7,392.00","7,415.99",496.38,"1,109.91"
"7,416.00","7,423.99",495.38,"1,108.91"
"7,424.00","7,439.99",494.38,"1,107.91"
"7,440.00","7,463.99",493.38,"1,106.91"
"7,464.00","7,471.99",492.38,"1,105.91"
"7,472.00","7,487.99",491.38,"1,104.91"
"7,488.00","7,511.99",490.38,"1,103.91"
"7,512.00","7,519.99",489.38,"1,102.91"
"7,520.00","7,535.99",488.38,"1,101.91"
"7,536.00","7,559.99",487.38,"1,100.91"
"7,560.00","7,567.99",486.38,"1,099.91"
"7,568.00","7,583.99",485.38,"1,098.91"
"7,584.00","7,607.99",484.38,"1,097.91"
"7,608.00","7,615.99",483.38,"1,096.91"
"7,616.00","7,631.99",482.38,"1,095.91"
"7,632.00","7,655.99",481.38,"1,094.91"
"7,656.00","7,663.99",480.38,"1,093.91"
"7,664.00","7,679.99",479.38,"1,092.91"
"7,680.00","7,703.99",478.38,"1,091.91"
"7,704.00","7,711.99",477.38,"1,090.91"
"7,712.00","7,727.99",476.38,"1,089.91"
"7,728.00","7,751.99",475.38,"1,088.91"
"7,752.00","7,759.99",474.38,"1,087.91"
"7,760.00","7,775.99",473.38,1086.91
"7,776.00","7,799.99",472.38,1085.91
"7,800.00","7,807.99",471.38,1084.91
"7,808.00","7,823.99",470.38,1083.91
"7,824.00","7,847.99",469.38,1082.91
"7,848.00","7,855.99",468.38,1081.91
"7,856.00","7,871.99",467.38,1080.91
"7,872.00","7,895.99",466.38,1079.91
"7,896.00","7,903.99",465.38,1078.91
"7,904.00","7,919.99",464.38,1077.91
"7,920.00","7,943.99",463.38,1076.91
"7,944.00","7,951.99",462.38,1075.91
"7,952.00","7,967.99",461.38,1074.91
"7,968.00","7,991.99",460.38,1073.91
"7,992.00","7,999.99",459.38,1072.91
"8,000.00","8,015.99",458.38,1071.91
"8,016.00","8,039.99",457.38,1070.91
"8,040.00","8,047.99",456.38,1069.91
"8,048.00","8,063.99",455.38,1068.91
"8,064.00","8,087.99",454.38,1067.91
"8,088.00","8,095.99",453.38,1066.91
"8,096.00","8,111.99",452.38,1065.91
"8,112.00","8,135.99",451.38,1064.91
"8,136.00","8,143.99",450.38,1063.91
"8,144.00","8,159.99",449.38,1062.91
"8,160.00","8,183.99",448.38,1061.91
"8,184.00","8,191.99",447.38,1060.91
"8,192.00","8,207.99",446.38,1059.91
"8,208.00","8,231.99",445.38,1058.91
"8,232.00","8,239.99",444.38,1057.91
"8,240.00","8,255.99",443.38,1056.91
"8,256.00","8,279.99",442.38,1055.91
"8,280.00","8,287.99",441.38,1054.91
"8,288.00","8,303.99",440.38,1053.91
"8,304.00","8,327.99",439.38,1052.91
"8,328.00","8,335.99",438.38,1051.91
"8,336.00","8,351.99",437.38,1050.91
"8,352.00","8,375.99",436.38,1049.91
"8,376.00","8,383.99",435.38,1048.91
"8,384.00","8,399.99",434.38,1047.91
"8,400.00","8,423.99",433.38,1046.91
"8,424.00","8,431.99",432.38,1045.91
"8,432.00","8,447.99",431.38,1044.91
"8,448.00","8,471.99",430.38,1043.91
"8,472.00","8,479.99",429.38,1042.91
"8,480.00","8,495.99",428.38,1041.91
"8,496.00","8,519.99",427.38,1040.91
"8,520.00","8,527.99",426.38,1039.91
"8,528.00","8,543.99",425.38,1038.91
"8,544.00","8,567.99",424.38,1037.91
"8,568.00","8,575.99",423.38,1036.91
"8,576.00","8,591.99",422.38,1035.91
"8,592.00","8,615.99",421.38,1034.91
"8,616.00","8,623.99",420.38,1033.91
"8,624.00","8,639.99",419.38,1032.91
"8,640.00","8,663.99",418.38,1031.91
"8,664.00","8,671.99",417.38,1030.91
"8,672.00","8,687.99",416.38,1029.91
"8,688.00","8,711.99",415.38,1028.91
"8,712.00","8,719.99",414.38,1027.91
"8,720.00","8,735.99",413.38,1026.91
"8,736.00","8,759.99",412.38,1025.91
"8,760.00","8,767.99",411.38,1024.91
"8,768.00","8,783.99",410.38,1023.91
"8,784.00","8,807.99",409.38,1022.91
"8,808.00","8,815.99",408.38,1021.91
"8,816.00","8,831.99",407.44,1020.97
"8,832.00","8,855.99",406.44,1019.97
"8,856.00","8,879.99",405.44,1018.97
"8,880.00","8,903.99",404.44,1017.97
"8,904.00","8,927.99",403.44,1016.97
"8,928.00","8,951.99",402.44,1015.97
"8,952.00","8,975.99",401.44,1014.97
"8,976.00","8,999.99",400.44,1013.97
"9,000.00","9,023.99",399.44,1012.97
"9,024.00","9,047.99",398.44,1011.97
"9,048.00","9,071.99",397.44,1010.97
"9,072.00","9,095.99",396.44,1009.97
"9,096.00","9,119.99",395.44,1008.97
"9,120.00","9,143.99",394.44,1007.97
"9,144.00","9,167.99",393.44,1006.97
"9,168.00","9,191.99",392.44,1005.97
"9,192.00","9,215.99",391.44,1004.97
"9,216.00","9,239.99",390.44,1003.97
